address,USDC.e,USDT.e,DAI.e,MIM,WETH.e,AnyETH,WBTC.e,renBTC,USDC.e LP,USDT.e LP,DAI.e LP,MIM LP,WETH.e LP,AnyETH LP,WBTC.e LP,renBTC LP
0xfE4237458AFa613A6699b921534a8045FC3b3Ed8,11992.558445,7979.663555,0.0,0.0,0.0,0.998943488722195778,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x8fDDAE436a4D39adf3D7e57cef52DE5EB7c11912,2599.491698,2348.692687,2003.789390639856802249,0.0,0.0,0.0,0.06,0.04,2599.217438,2348.68649,3005.3840813452959257,5085.96599980925499596,0.499839166310097563,0.499785100417034129,0.0,0.0
0x10a021814291CEb7A8E3b71225dA036aDa95CE6F,3000.0,0.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,8998.587048,0.0,0.0,0.0,0.0,0.0,0.0
0x2C95A4d69E1aE8aFDd677712dEd5320F3c4EF430,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x871b5650a2d5637F76411e9F3D950DE3D3a1D0fb,0.0,0.0,0.0,0.0,0.600999628707995731,0.399,0.06,0.04,6501.969678,5006.876789,5002.194660428305212464,3486.735420433629848937,0.0,0.0,0.0,0.0
0x187552928d6219bb1195eFfC6845aD6d520105F5,2995.097737,5999.914316,4999.924706978079502006,5997.535004927446599692,0.999839797948436071,0.0,0.09998268,0.00000039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x211ad4eF04be35ED6201e25577cea67AD7E0EeDf,5400.0,0.0,5000.0,3599.749121000883740897,0.6,0.4,0.06,0.04,0.0,5999.835379,0.0,0.0,0.0,0.0,0.0,0.0
0x7b1E8B4C96982D828eC3d99bB4D5951Ac62D94a5,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xC487f60b6fA6d7CC1e51908b383385CbfC6c30B5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5538.247137,5409.294041,4798.995835820299138529,4248.628135219143221601,0.589969011700800876,0.409974353983668269,0.0699892,0.02999503
0x9e2111DB92c404b2C630A11a6620b615D6E7f21A,10991.095225,4998.08278,1999.231986904133164092,0.0,0.999371713430814829,0.0,0.0,0.09997595,0.0,1999.952473,0.0,0.0,0.0,0.0,0.0,0.0
0x86e03a19652da1EBF7Be3de4AC2b63770535FEa9,999.235247,98.406248,0.0,999.576204302388762647,0.0,0.0,0.0,0.0,5999.23644,5999.85259,5897.849636973128749577,0.999981564375109047,0.999332520015301799,0.0,0.0599822,0.0399822
0x5adadEA05fE579ADa928926E07b9Eb9a5DfCF342,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa42d735d2349037ce7db5dE5E106Eb609935796D,3397.021832,3799.274529,2699.051789342250416809,2100.871878189111805872,0.899888856537078502,0.1,0.06,0.04,1999.745168,1999.950361,1999.756469812246388297,1999.962939871073606367,0.0,0.0,0.0,0.0
0x23e3bf752906188C5FB427b88353775Db1049F2d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4998.850376,5999.24604,5498.529372229584494435,3499.292726794942476024,0.509979647737112515,0.489946131517829523,0.04999793,0.04999442
0xD3ae9e1f0DfB1c82EC961264076c96Ed6189a206,4699.956584,6000.0,5899.639151457394933871,3399.863460104373514862,0.5,0.499957237192176097,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xfFc4A5279d42F221353FDc36200ac9806D5717cA,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x52E49872153fb72F96a0E4a04356d06d5b4AaCd8,2000.0,5999.613381,4000.0,1000.0,0.4,0.599914735269657955,0.04,0.04,2999.622829,999.977042,1999.360153873836315497,999.985353141761535339,0.0,0.0,0.0,0.0
0x77A48665E8C9A34D0597cA9dD8A10580Ae7d76d3,4871.999559,5999.960037,5849.619400270341564233,2900.0,0.6,0.4,0.06,0.04,77.989759,99.997068,99.987438802202123516,99.997440726694170482,0.0,0.0,0.0,0.0
0x1E3eEf86f764F9910e9bE00ACeb462D169C9af03,2998.872379,7977.898399,4997.829128439713912069,4000.025155768996937961,0.0,0.099113552974650386,0.0,0.0,0.0,0.0,0.0,0.0,0.449821534402648562,0.449829579247838096,0.05999755,0.03999878
0x0d2Bcd389EeF1465631A242759380B06549b8AB7,4717.177386,9497.035087,4998.104729951906588129,777.999885431431500999,0.299890030506987252,0.699739838334034117,0.02998005,0.06996791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xAB12253171A0d73df64B115cD43Fe0A32Feb9dAA,0.0,6999.622619,0.0,0.0,0.799926768676428179,0.0,0.07999203,0.0,6998.708402,0.0,620.68775642884794038,5376.759903990229772953,0.0,0.19999295330863107,0.0,0.01999931
0x9C6319eD03BCD939921A4b5c46044C2F56e507b1,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x692dD3ea0b69055842D5a8E8988A3C555906a0D4,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe22039e378F3F9F6C56b83413f3aF0d025ed2368,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x360cEBaC3453204D44032d4E4d2c9896DE48a85c,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x85451AB4b047188b77DEE29d8390dF8F123d3097,0.0,0.0,0.0,0.0,0.995859168870840709,0.0,0.06,0.04,19983.540353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa9951E612bDE3b63563e196a75501e6789d236eE,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xF87F70a6B6d9d283C93F44395543cA3119e7032D,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x3234dF5BfC256e8EC061C59cd1Fd0ba546AA87Bc,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x7e7fedfbf833fafb4e2d9ce24dbeb2bcf187be36,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xcdb90B4E62Ff02Ab9396F422d90431283C1F99d2,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x521A0A0eC963e9CbD56127b3d1ac63bB44834DEb,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x63b81Cd35307Bf410B21300Dad16Af13a2Da683f,4000.674235,6299.996688,4198.885250716923692526,3798.794748682218134174,0.999385780713659178,0.0,0.0,0.09994234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xb2f4A2590195E54434987BF7007B94414AE92940,0.0,0.0,0.0,0.0,0.0,0.4,0.06,0.04,0.0,0.0,5009.402931152393482286,20982.390475643574786631,0.599987010880184098,0.0,0.0,0.0
0xB288A6E41675E9b77d729882Cf8FC8c345A0AE82,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf5281a193fed7231d85e93bcace3b28a6d56af19,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,5999.12526,5999.745896,4999.306707317272104207,2999.960144660683903891,0.599987019779052818,0.39999183932564608,0.05999914,0.0399984
0x9a523F7323fecbaE6894c0BEcA679dA329e06dF4,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xdae54884da32d5b4e89232984bbb1d779bf63621,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xAf7610346B2DA6194780085e1629CA57e53f2B54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25934.107632941012647696,0.999311817678991146,0.0,0.0,0.09989017
